tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	gene_biotype	gene_name	gene_source	protein_id	transcript_biotype	transcript_name	transcript_source	ensembl_canonical	seleno
XM_006559882	LOC100576147	CM009931.2	+	1	4102	1278	520	2304	protein_coding		RefSeq	XP_006559945	protein_coding		RefSeq	True	False
XM_006561922	LOC100577342	CM009931.2	+	4	1173	825	192	156	protein_coding		RefSeq	XP_006561985	protein_coding		RefSeq	True	False
XM_026445023	LOC551556	CM009931.2	-	4	1369	1209	122	38	protein_coding		RefSeq	XP_026300808	protein_coding		RefSeq	True	False
XM_006563296	LOC727596	CM009931.2	+	4	1065	807	199	59	protein_coding		RefSeq	XP_006563359	protein_coding		RefSeq	True	False
XM_026446341	LOC727596	CM009931.2	+	5	1018	807	152	59	protein_coding		RefSeq	XP_026302126	protein_coding		RefSeq	False	False
XM_006567945	LOC102653881	CM009931.2	-	3	1091	618	175	298	protein_coding		RefSeq	XP_006568008	protein_coding		RefSeq	True	False
XM_397116	LOC413675	CM009931.2	-	8	3275	2757	67	451	protein_coding		RefSeq	XP_397116	protein_coding		RefSeq	True	False
XM_026441397	LOC412361	CM009931.2	+	8	1049	741	211	97	protein_coding		RefSeq	XP_026297182	protein_coding		RefSeq	False	False
XM_026441391	LOC412361	CM009931.2	+	8	1127	822	211	94	protein_coding		RefSeq	XP_026297176	protein_coding		RefSeq	True	False
XR_411947	LOC100576257	CM009931.2	+	4	2254	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
XR_120579	LOC100576257	CM009931.2	+	4	2305	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XM_003251689	LOC409313	CM009931.2	+	7	1389	1185	192	12	protein_coding		RefSeq	XP_003251737	protein_coding		RefSeq	False	False
XM_016917916	LOC409313	CM009931.2	+	7	1157	1032	113	12	protein_coding		RefSeq	XP_016773405	protein_coding		RefSeq	False	False
XM_392831	LOC409313	CM009931.2	+	8	1408	1203	193	12	protein_coding		RefSeq	XP_392831	protein_coding		RefSeq	False	False
XM_006571328	LOC409313	CM009931.2	+	8	1408	1203	193	12	protein_coding		RefSeq	XP_006571391	protein_coding		RefSeq	False	False
XM_006571327	LOC409313	CM009931.2	+	9	1427	1221	194	12	protein_coding		RefSeq	XP_006571390	protein_coding		RefSeq	True	False
XM_026446316	LOC552435	CM009931.2	+	17	4059	3591	263	205	protein_coding		RefSeq	XP_026302101	protein_coding		RefSeq	True	False
XR_003305185	LOC102655567	CM009931.2	-	4	3707	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	True	False
XR_003305187	LOC102655567	CM009931.2	-	4	3214	0	0	0	lncRNA		RefSeq		lncRNA		RefSeq	False	False
